Restaurant Name,Price Range,Restauarant Website
Steinhalle,97 - 147 CHF,https://www.steinhalle.ch/
Osteria TRE,128 - 168 CHF,https://www.badbubendorf.ch/
Le 42,115 - 140 CHF,https://www.restaurantle42.com/
La Table d'Adrien,145 - 205 CHF,https://www.chalet-adrien.com/
Gasthaus Zum Gupf,70 - 164 CHF,https://www.gupf.ch/
Chesa Stüva Colani,112 - 170 CHF,https://www.hotelchesacolani.com/
Sonne,75 - 174 CHF,https://www.sonne-scheunenberg.ch/
Schlüssel,95 - 160 CHF,https://www.schluessel-oberwil.ch/
Verve by Sven,65 - 140 CHF,https://www.resortragaz.ch/
La Chaumière by Serge Labrosse,44 - 165 CHF,https://www.restaurant-la-chaumiere.ch/
After Seven,159 - 199 CHF,https://www.backstagehotel.ch/
Le Café Suisse,101 - 170 CHF,https://www.cafe-suisse.ch/
Le Cigalon,56 - 165 CHF,https://www.le-cigalon.ch/
Vivanda,190 - 250 CHF,https://www.inlain.ch/
Ornellaia,64 - 190 CHF,https://www.ristorante-ornellaia.ch/
Zum Äusseren Stand,62 - 145 CHF,https://www.aeussererstand.ch/
The Japanese Restaurant,160 - 220 CHF,https://www.thechediandermatt.com/
The Japanese by The Chedi,95 - 140 CHF,https://www.thechediandermatt.com/
Zur Gedult,95 - 140 CHF,https://www.gedult.ch/
Guarda Val,86 - 185 CHF,https://www.guardaval.ch/
Il Lago,78 - 169 CHF,https://www.fourseasons.com/geneva
Maison Manesse,40 - 160 CHF,https://www.maisonmanesse.ch/
Löwen - Apriori,62 - 198 CHF,https://www.loewenbubikon.ch/
I Due Sud,80 - 198 CHF,https://www.splendide.ch/
Alpine Gourmet Prato Borni,110 - 170 CHF,https://www.zermatterhof.ch/
IGNIV Zürich by Andreas Caminada,68 - 198 CHF,https://www.marktgassehotel.ch/
dasRestaurant,105 - 145 CHF,https://www.seepark.ch/
Sushi Shin,125 - 299 CHF,https://www.sushishin.ch/
META,88 - 122 CHF,https://www.metaworld.ch/
UniQuisine Atelier,150 - 180 CHF,https://www.uniquisine.ch/
Denis Martin,280 - 360 CHF,https://www.denismartin.ch/
L'Ermitage,85 - 285 CHF,https://www.ravet.swiss/
Gasthaus zum Kreuz,62 - 148 CHF,https://www.kreuz-dallenwil.ch/
Segreto,110 - 150 CHF,https://www.segreto.ch/
Le MontBlanc,55 - 179 CHF,https://www.lecrans.com/
GÜTSCH by Markus Neff,83 - 165 CHF,https://www.guetsch.com/
Schlüssel - Nidbergstube,75 - 190 CHF,https://www.schluesselmels.ch/
Bel Etage,77 - 175 CHF,https://www.teufelhof.com/
8 1/2 Otto e Mezzo - Bombana,"1,050 - 2,280 MOP",https://www.ottoemezzobombana.com/
The Golden Peacock,208 - 700 MOP,https://www.venetianmacao.com/
Zi Yat Heen,"300 - 2,000 MOP",https://www.fourseasons.com/macau
Wing Lei Palace,"400 - 1,680 MOP",https://www.wynnpalace.com/en
Lai Heen,"300 - 2,688 MOP",https://www.ritzcarlton.com/macau
The Kitchen,"430 - 1,800 MOP",https://www.grandlisboahotels.com/
Pearl Dragon,"300 - 1,388 MOP",https://www.studiocity-macau.com/
Ying,"300 - 2,000 MOP",https://www.altiramacau.com/
Liu Yuan Pavilion,200 - 750 HKD,N/A
Vea,"1,680 HKD",https://www.vea.hk/
Épure,"498 - 1,888 HKD",http://www.epure.hk/
Pang's Kitchen,98 - 500 HKD,N/A
New Punjab Club,600 - 800 HKD,https://www.newpunjabclub.com/
Man Wah,"500 - 3,288 HKD",https://www.mandarinoriental.com/hongkong
Rùn,"400 - 1,400 HKD",www.stregishongkong.com
Ming Court (Mong Kok),"350 - 1,400 HKD",https://www.cordishotels.com/en/hong-kong
Shang Palace,"400 - 1,388 HKD",www.shangri-la.com/kowloon
Summer Palace,"300 - 1,500 HKD",https://www.shangri-la.com/island
Ryota Kappou Modern,"580 - 2,380 HKD",https://www.ryota.hk/
Imperial Treasure Fine Chinese Cuisine (Tsim Sha Tsui),"200 - 1,000 HKD",https://www.imperialtreasure.com/
Andō,"788 - 1,888 HKD",www.andohk.com
Man Ho (Admiralty),"300 - 1,580 HKD",https://www.jwmarriotthongkong.com/dining
Louise,"750 - 1,588 HKD",https://www.louise.hk/
Spring Moon,"400 - 2,188 HKD",https://www.peninsula.com/hongkong
Yardbird,350 - 500 HKD,N/A
Arcane,"458 - 1,200 HKD",https://www.arcane.hk/
Petrus,"588 - 2,188 HKD",www.shangri-la.com/island
Mandarin Grill + Bar,"598 - 1,988 HKD",https://www.mandarinoriental.com/hongkong
Ah Yat Harbour View,"400 - 2,200 HKD",N/A
Xin Rong Ji,"500 - 1,500 HKD",N/A
Octavium,"560 - 1,888 HKD",www.octavium.com.hk
Loaf On,200 - 500 HKD,N/A
Roganic,320 - 980 HKD,https://www.roganic.com.hk/
Kam's Roast Goose,65 - 200 HKD,https://www.krg.com.hk/
Fook Lam Moon (Wan Chai),"400 - 2,000 HKD",N/A
Lei Garden (Kwun Tong),150 - 550 HKD,www.leigarden.com.hk
Yat Lok,70 - 360 HKD,N/A
Takumi by Daisuke Mori,"2,080 HKD",https://www.takumibymori.com/
Yan Toh Heen,"400 - 2,000 HKD",https://hongkong-ic.intercontinental.com/zh-hant/
Beefbar,"330 - 1,500 HKD",http://www.beefbar.hk/
The Chairman,"358 - 1,200 HKD",www.thechairmangroup.com
Jardin de Jade (Wan Chai),200 - 400 HKD,http://www.jade388.com/
Tosca di Angelo,"638 - 1,888 HKD",https://www.ritzcarlton.com/hongkong
Yè Shanghai (Tsim Sha Tsui),200 - 800 HKD,https://www.elite-concepts.com/
Zest by Konishi,"480 - 1,880 HKD",https://zestbykonishihk.com/
Zhejiang Heen,200 - 800 HKD,https://www.zhejiangheen.com/
Ho Hung Kee (Causeway Bay),100 - 200 HKD,N/A
Celebrity Cuisine,"200 - 1,000 HKD",www.lankwaifonghotel.com.hk
Fu Ho,"300 - 1,500 HKD",www.fuho.com.hk
Tim Ho Wan (Sham Shui Po),50 - 100 HKD,N/A
Aaharn,348 - 800 HKD,N/A
Gaddi's,"608 - 2,088 HKD",https://www.peninsula.com/hongkong
The Araki,"4,000 HKD",http://www.house1881.com/
Yat Tung Heen,"400 - 1,200 HKD",https://www.yattungheen.com/
Zuicho,"1,800 - 2,500 HKD",N/A
Duddell's,"398 - 1,500 HKD",www.duddells.co
Chestnut,100 EUR,https://www.restaurantchestnutwestcork.ie/
Aniar,110 EUR,https://www.aniarrestaurant.ie/
House,130 EUR,https://www.cliffhousehotel.ie/
dede,95 EUR,https://customshousebaltimore.com/
Bastion,100 EUR,http://www.bastionkinsale.com/
The Oak Room,100 - 120 EUR,https://www.adaremanor.com/
Liath,55 - 120 EUR,https://www.liathrestaurant.com/
Campagne,45 - 68 EUR,https://www.campagne.ie/
Ichigo Ichie,120 - 135 EUR,https://www.ichigoichie.ie/
Variety Jones,60 EUR,https://www.varietyjones.ie/
Lady Helen,90 - 130 EUR,https://www.mountjuliet.ie/
Loam,58 - 99 EUR,https://www.loamgalway.com/
Wild Honey Inn,70 - 80 EUR,https://www.wildhoneyinn.com/
Olive Tree,34 - 110 GBP,https://www.olivetreebath.co.uk/
Brat,32 - 85 GBP,N/A
The Neptune,65 - 80 GBP,https://www.theneptune.co.uk/
The Cellar,50 - 80 GBP,https://www.thecellaranstruther.co.uk/
The Man Behind The Curtain,88 - 132 GBP,https://www.themanbehindthecurtain.co.uk/
L'Ortolan,60 - 89 GBP,https://www.lortolan.com/
Seven Park Place,35 - 95 GBP,https://www.stjameshotelandclub.com/
The Cross at Kenilworth,35 - 65 GBP,https://www.thecrosskenilworth.co.uk/
Muse,50 - 145 GBP,https://www.musebytomaikens.co.uk/
The Ninth,35 - 59 GBP,https://www.theninthlondon.com/
Chez Bruce,50 - 65 GBP,https://www.chezbruce.co.uk/
Sosban & The Old Butchers,59 - 145 GBP,https://www.sosbanandtheoldbutchers.com/
Clock House,50 - 110 GBP,https://www.theclockhouserestaurant.co.uk/
Le Champignon Sauvage,40 - 75 GBP,https://www.lechampignonsauvage.co.uk/
Opheem,45 - 115 GBP,https://www.opheem.com/
Lympstone Manor,65 - 160 GBP,https://www.lympstonemanor.co.uk/
The Whitebrook,47 - 95 GBP,https://www.thewhitebrook.co.uk/
Tony Parkin at The Tudor Room,50 - 120 GBP,https://www.alexanderhotels.co.uk/
Interlude,145 GBP,https://www.restaurant-interlude.co.uk/
Restaurant Tristan,50 - 100 GBP,https://www.restauranttristan.co.uk/
Club Gascon,70 - 95 GBP,https://www.clubgascon.com/
Harwood Arms,50 GBP,https://www.harwoodarms.com/
Ikoyi,60 - 150 GBP,https://www.ikoyilondon.com/
Hjem,85 GBP,https://www.restauranthjem.co.uk/
Davies and Brook,110 - 145 GBP,https://www.daviesandbrook.co.uk/
Kitchen W8,30 - 80 GBP,https://www.kitchenw8.com/
Purnell's,45 - 95 GBP,https://www.purnellsrestaurant.com/
Mãos,170 GBP,https://www.bluemountain.school/maos
Coworth Park,85 GBP,http://www.dorchestercollection.com/
Salt,48 - 85 GBP,https://www.salt-restaurant.co.uk/
Benares,39 - 100 GBP,https://www.benaresrestaurant.com/
Gymkhana,33 - 85 GBP,https://www.gymkhanalondon.com/
Condita,110 GBP,https://www.condita.co.uk/
Lei Garden,60 - 120 SGD,https://www.leigarden.hk/
Whitegrass,68 - 218 SGD,www.whitegrass.com.sg
Shinji (Bras Basah Road),90 - 650 SGD,https://www.shinjibykanesaka.com/
Candlenut,50 - 98 SGD,https://www.comodempsey.sg/
Garibaldi,39 - 240 SGD,https://www.garibaldi.com.sg/
Béni,108 - 268 SGD,https://www.beni-sg.com/
Summer Palace,56 - 398 SGD,https://www.regenthotels.com/
Imperial Treasure Fine Teochew Cuisine (Orchard),30 - 128 SGD,https://www.imperialtreasure.com/
Shinji (Tanglin Road),125 - 550 SGD,https://www.shinjibykanesaka.com/
Sushi Ichi,100 - 430 SGD,http://www.ginza-sushiichi.jp/
Iggy's,105 - 285 SGD,https://www.iggys.com.sg/
28 Wilkie,158 - 198 SGD,https://www.28wilkie.com/
Sushi Kimura,180 - 400 SGD,https://www.sushikimura.com.sg/
Chef Kang's,80 - 120 SGD,https://www.chef-kang.com/
Alma,78 - 258 SGD,https://www.alma.sg/
Shang Palace,50 - 328 SGD,https://www.shangri-la.com/singapore
Buona Terra,88 - 178 SGD,https://www.buonaterra.com.sg/
Corner House,118 - 248 SGD,https://www.cornerhouse.com.sg/
Hill Street Tai Hwa Pork Noodle,6 - 10 SGD,N/A
Oshino,180 - 500 SGD,www.oshino.sg
Dysart Petersham,45 - 95 GBP,https://www.thedysartpetersham.co.uk/
Hakkasan Mayfair,38 - 128 GBP,https://www.hakkasan.com/
Casa Fofō,45 GBP,https://www.casafofolondon.co.uk/
Hambleton Hall,48 - 83 GBP,https://www.hambletonhall.com/
Thomas Carr 1873,95 GBP,https://www.thomascarrdining.co.uk/
Rogan & Co,34 - 63 GBP,https://www.roganandco.co.uk/
Allium at Askham Hall,95 GBP,https://www.askhamhall.co.uk/
Amaya,29 - 82 GBP,https://www.amaya.biz/
The Muddlers Club,65 GBP,https://www.themuddlersclubbelfast.com/
Dining Room at The Goring,52 - 78 GBP,https://www.thegoring.com/
The Peat Inn,29 - 78 GBP,https://www.thepeatinn.co.uk/
Restaurant Hywel Jones by Lucknam Park,110 GBP,https://www.lucknampark.co.uk/
Céleste,43 - 125 GBP,https://www.oetkercollection.com/hotels/the-lanesborough/restaurants-bars/restaurants/celeste/
Cail Bruich,60 - 90 GBP,https://www.cailbruich.co.uk/
mana,155 GBP,https://www.manarestaurant.co.uk/
Galvin La Chapelle,43 - 89 GBP,https://www.galvinrestaurants.com/
Paul Ainsworth at No.6,85 - 95 GBP,https://www.paul-ainsworth.co.uk/
Latymer,85 - 130 GBP,https://latymerrestaurant.co.uk
Ritz Restaurant,56 - 115 GBP,https://www.theritzlondon.com/
Behind,42 - 74 GBP,N/A
Isle of Eriska,20 - 80 GBP,www.eriska-hotel.co.uk
Carters of Moseley,120 GBP,https://www.cartersofmoseley.co.uk/
Star Inn at Harome,36 - 78 GBP,https://www.thestaratharome.co.uk/
Veeraswamy,30 - 78 GBP,https://www.veeraswamy.com/
Bohemia,45 - 99 GBP,https://www.bohemiajersey.com/
Black Swan,125 - 140 GBP,https://www.blackswanoldstead.co.uk/
Paco Tapas,25 - 60 GBP,www.pacotapas.co.uk
The Angel,44 - 80 GBP,https://www.angelhetton.co.uk/
Pensons,45 - 75 GBP,www.pensons.co.uk
Fordwich Arms,54 - 190 GBP,www.fordwicharms.co.uk
hide and fox,58 - 85 GBP,https://www.hideandfox.co.uk/
City Social,60 - 78 GBP,https://www.citysociallondon.com/
Pea Porridge,30 - 75 GBP,www.peaporridge.co.uk
Quilon,41 - 95 GBP,http://www.quilon.co.uk/
Umu,57 - 200 GBP,https://www.umurestaurant.com/
Murano,45 - 105 GBP,https://www.muranolondon.com/
Elephant,28 - 80 GBP,https://www.elephantrestaurant.co.uk/
Winteringham Fields,65 - 95 GBP,https://www.winteringhamfields.co.uk/
Pied à Terre,30 - 95 GBP,https://www.pied-a-terre.co.uk/
Cottage in the Wood,50 - 95 GBP,https://www.thecottageinthewood.co.uk/
Leroy,25 - 48 GBP,https://www.leroyshoreditch.com/
Pollen Street Social,56 - 135 GBP,https://www.pollenstreetsocial.com/
Northcote,45 - 95 GBP,https://www.northcote.com/
Kai,58 - 120 GBP,https://www.kaimayfair.co.uk/
St John,32 - 50 GBP,https://www.stjohnrestaurant.com/
Old Stamp House,45 - 75 GBP,https://www.oldstamphouse.com/
Portland,39 - 65 GBP,https://www.portlandrestaurant.co.uk/
The Clove Club,65 - 145 GBP,https://www.thecloveclub.com/
Stark,65 GBP,www.starkfood.co.uk
Pétrus by Gordon Ramsay,55 - 120 GBP,https://www.gordonramsayrestaurants.com/petrus
HRiSHi,75 - 95 GBP,https://www.thegilpin.co.uk/
Hakkasan Hanway Place,35 - 135 GBP,https://www.hakkasan.com/
Outlaw's Fish Kitchen,80 GBP,https://www.outlaws.co.uk/restaurants/fish-kitchen
Masons Arms,30 - 55 GBP,https://www.masonsarmsdevon.co.uk/
Bulrush,60 GBP,https://www.bulrushrestaurant.co.uk/
Outlaw's New Road,80 GBP,https://www.outlaws.co.uk/restaurants/new-road
Trishna,30 - 75 GBP,https://www.trishnalondon.com/
Roots,95 - 110 GBP,N/A
Trinity,55 - 95 GBP,https://www.trinityrestaurant.co.uk/
Walnut Tree,35 - 60 GBP,https://www.thewalnuttreeinn.com/
Forest Side,45 - 95 GBP,https://www.theforestside.com/
Five Fields,95 - 120 GBP,https://www.fivefieldsrestaurant.com/
alchemilla,85 - 110 GBP,www.alchemillarestaurant.uk
Sabor,35 - 60 GBP,https://www.saborrestaurants.co.uk/
The Woodspeen,30 - 70 GBP,https://www.thewoodspeen.com/
Number One,110 GBP,https://www.roccofortehotels.com/hotels-and-resorts/the-balmoral-hotel/restaurants-and-bars/number-one/
Peel's,95 - 125 GBP,https://www.hamptonmanor.com/
Hinds Head,52 - 83 GBP,https://www.hindsheadbray.com/
Above at HIDE,48 - 140 GBP,https://www.hide.co.uk/
The Coach,28 - 50 GBP,https://www.thecoachmarlow.co.uk/
Marcus,55 - 125 GBP,https://www.marcusrestaurant.com/
Cornerstone,39 - 58 GBP,https://www.cornerstonehackney.com/
The Glasshouse,45 - 60 GBP,https://www.glasshouserestaurant.co.uk/
Lyle's,35 - 79 GBP,https://www.lyleslondon.com/
Eipic,29 - 80 GBP,https://www.deaneseipic.com/
Artichoke,55 - 85 GBP,https://www.artichokerestaurant.co.uk/
Martin Wishart,39 - 95 GBP,https://www.restaurantmartinwishart.co.uk/
SO|LA,89 - 139 GBP,https://www.solasoho.com/
Gravetye Manor,60 - 95 GBP,https://www.gravetyemanor.co.uk/
Barrafina,20 - 40 GBP,https://www.barrafina.co.uk/
Simpsons,55 - 115 GBP,https://www.simpsonsrestaurant.co.uk/
Beach House,62 - 95 GBP,https://www.beachhouseoxwich.co.uk/
Elystan Street,35 - 105 GBP,https://www.elystanstreet.com/
Casamia,180 GBP,www.casamiarestaurant.co.uk
House of Tides,85 - 110 GBP,https://www.houseoftides.co.uk/
OX,30 - 65 GBP,https://www.oxbelfast.com/
Crown,38 - 49 GBP,https://www.thecrownburchettsgreen.com/
Osip,54 - 110 GBP,www.osiprestaurant.com
La Table d'Antonio Salvatore au Rampoldi,120 - 220 EUR,N/A
Yannick Alléno à l’Hôtel Hermitage Monte-Carlo,68 - 235 EUR,http://www.montecarloresort.com/
Le Blue Bay,110 - 180 EUR,https://www.montecarlobay.com/
Yoshi,54 - 240 EUR,https://www.metropole.com/
Le Grill,68 - 210 EUR,https://www.hoteldeparismontecarlo.com/
Le Georges,59 - 124 EUR,http://www.monarque.fr/
Pages,65 - 150 EUR,https://www.restaurantpages.fr/
L'Arcane,55 - 155 EUR,https://www.restaurantlarcane.com/
Hostellerie de Levernois,75 - 125 EUR,https://www.levernois.com/
Trente-Trois,68 - 118 EUR,https://www.restaurant-trente-trois.com/
L'Auberge de Bagatelle,45 - 100 EUR,https://www.aubergedebagatelle.fr/
Mavrommatis,45 - 125 EUR,https://www.mavrommatis.com/
Reflet d'Obione,31 - 82 EUR,https://www.reflet-obione.com/
Côté Jardin,49 - 85 EUR,N/A
L'Ardoise du Marché,28 - 75 EUR,https://www.ardoise-du-marche.com/
Le Duèze - Château de Mercuès,110 - 160 EUR,https://www.chateaudemercues.com/
Cyril Attrazic,48 - 118 EUR,https://www.camillou.com/
Le Saint-Estève,80 - 165 EUR,https://www.leslodgessaintevictoire.com/
Abri,50 - 70 EUR,https://www.abrirestaurant.fr/
Le Cénacle,39 - 110 EUR,www.cite-hotels.com/fr/etablissements/restaurant-la-cenacle.html
Le Vieux Logis,55 - 140 EUR,https://www.vieux-logis.com/
L'Amaryllis,40 - 130 EUR,https://www.lamaryllis.com/
Yoshinori,50 - 150 EUR,https://www.yoshinori-paris.com/
À Contre Sens,27 - 70 EUR,https://www.acontresens.fr/
Intuition,44 - 72 EUR,http://www.restaurant-intuition.com/
Le Restaurant du Cerisier,55 - 109 EUR,https://www.lecerisier.com/
The Marcel,38 - 100 EUR,https://www.the-marcel.fr/
Têtedoie,48 - 130 EUR,https://www.tetedoie.com/
Au Vieux Couvent,39 - 127 EUR,https://www.vieuxcouvent.fr/
Holen,35 - 85 EUR,https://restaurant-holen.fr
Dan B. - La Table de Ventabren,54 - 117 EUR,https://www.danb.fr/
La Chaumière,34 - 140 EUR,https://www.lachaumiere-dole.fr/
La Mirande,60 - 160 EUR,https://www.la-mirande.fr/
Restaurant De Lauzun,36 - 110 EUR,https://www.restaurant-delauzun.com/
L'Épuisette,75 - 145 EUR,https://www.l-epuisette.fr/
Jacques Faussat,42 - 65 EUR,https://www.jacquesfaussat.com/
Auberge de la Tour,79 - 109 EUR,https://www.aubergedela-tour.com/
Shabour,59 - 96 EUR,N/A
NESO,135 - 180 EUR,https://www.neso.paris/
Le Chantecler,110 - 190 EUR,https://www.lenegresco.com/
Le Quincangrogne,40 - 95 EUR,https://www.hotel-restaurant-lequincangrogne.fr/
Château de la Treyne,50 - 176 EUR,https://www.chateaudelatreyne.com/
Auberge St-Jean,62 - 88 EUR,https://www.aubergesaintjean.com/
Umami,63 - 70 EUR,https://www.restaurant-umami.com/
G.a. au Manoir de Rétival,98 - 199 EUR,http://restaurant-ga.fr
Brikéténia,38 - 108 EUR,https://www.briketenia.com/
Jean-Claude Leclerc,36 - 115 EUR,https://www.restaurant-jcl.com/
Villa Salone,58 - 98 EUR,https://www.villa-salone.com/
La Meynardie,25 - 83 EUR,https://www.domainedelameynardie.com/
Aigue Marine,26 - 90 EUR,https://www.aiguemarine-hotel.com/
Le Bec au Cauchois,36 - 95 EUR,https://www.lebecaucauchois.com/
L'Éveil des Sens,26 - 76 EUR,https://www.restaurant-leveildessens.fr/
La Table de Chaintré,42 - 65 EUR,https://www.latabledechaintre.com/
L'Innocence,39 - 95 EUR,https://www.linnocence.fr/
Äponem - Auberge du Presbytère,89 EUR,https://www.aponem-aubergedupresbytere.fr/
Auberge du Cellier,21 - 82 EUR,http://www.aubergeducellier.com/
L'Escarbille,42 - 83 EUR,https://www.lescarbille.fr/
L'Atelier Yssoirien,38 - 98 EUR,https://www.atelier-yssoirien.com/
La Table des Frères Ibarboure,55 - 130 EUR,https://www.freresibarboure.com/
Tomy & Co,62 - 85 EUR,https://www.tomygousset.com/
Tour d'Argent,110 - 356 EUR,https://www.tourdargent.com/
Jean-Marc Pérochon,28 - 112 EUR,https://www.lesbrisants.com/
Restaurant H,40 - 90 EUR,https://www.restauranth.com/
Le Mas Bottero,29 - 93 EUR,http://www.lemasbottero.com/
L'Oiseau Bleu,32 - 80 EUR,https://www.loiseaubleu.fr/
Kasbür,27 - 99 EUR,https://www.restaurant-kasbur.fr/
Saisons,60 - 140 EUR,https://www.saisons-restaurant.fr/
Pastis,38 - 56 EUR,https://www.pastis-restaurant.com/
Pierre,36 - 102 EUR,www.restaurant-pierre.com
Aida,280 EUR,http://www.aida-paris.net/
L'Aspérule,38 - 120 EUR,https://www.restaurant-asperule.fr/
Le Patio,53 - 130 EUR,http://www.lepatio-thierryrenou.com/
Chugokusai S.Sawada,"11,000 - 17,000 JPY",N/A
Oimatsu Kitagawa,"9,000 - 27,000 JPY",https://www.oimatsu-kitagawa.com/
P greco,"22,000 - 28,000 JPY",https://www.pgreco.jp/
Oimatsu Hisano,"15,000 JPY",N/A
Nishitemma Nakamura,"15,000 JPY",N/A
Chi-Fu,"7,000 - 22,000 JPY",http://chi-fu.jp/
Temmabashi Fujikawa,"7,000 - 17,000 JPY",https://www.te-fujikawa.com/
Oryori Horikawa,"7,000 - 16,000 JPY",N/A
Naniwaryori Yu,"10,000 - 15,000 JPY",N/A
Pierre,"9,500 - 21,000 JPY",https://www.icosaka.com/
Unkaku,"5,500 - 37,000 JPY",http://www.unkaku.jp/
Kappo Hashimoto,"7,000 - 13,000 JPY",N/A
Kawahara,"7,000 - 17,000 JPY",N/A
Higashichaya Nakamura,"24,000 - 26,000 JPY",N/A
Sushidokoro Hirokawa,"15,000 - 17,000 JPY",https://sushi-hirokawa.jp/
Yoshino,"5,500 - 14,000 JPY",N/A
Point,"22,000 JPY",http://point-accueillir.com/
Ichiju Nisai Ueno Minoten,"11,000 - 34,000 JPY",https://ichijunisai-ueno.net/
MUNI LA TERRASSE,"7,000 - 13,000 JPY",https://muni-kyoto.com/
MUNI ALAIN DUCASSE,"27,000 - 39,000 JPY",https://muni-kyoto.com/
Okina,"5,000 - 15,000 JPY",N/A
Uozuya,"20,000 - 27,000 JPY",N/A
SEN,"13,000 - 25,000 JPY",https://kyoto-sen.com/
Godan Miyazawa,"17,000 - 22,000 JPY",https://jiki-miyazawa.com/
Higashiyama Yoshihisa,"7,000 - 22,000 JPY",N/A
Kinobu,"6,500 - 32,000 JPY",http://www.kinobu.co.jp/
Kako Okamoto,"14,000 JPY",N/A
Ayanokoji Karatsu,"11,000 - 20,000 JPY",http://karatu.jp/
Ryoriya Maekawa,"17,000 JPY",https://ryouriya-maekawa.com/
Kentan Horibe,"8,000 - 22,000 JPY",https://www.kyoto-horibe.com/
Honke Tankuma Honten,"8,000 - 64,000 JPY",http://www.tankuma.jp/
Shun-ai Sasaki,"6,000 - 16,000 JPY",N/A
Jiki Miyazawa,"6,500 - 20,000 JPY",https://jiki-miyazawa.com/
naruya,"23,000 - 40,000 JPY",N/A
CAINOYA,"40,000 JPY",N/A
VELROSIER,"8,500 - 22,000 JPY",https://www.vel-rosier.com/
TAKAYAMA,"22,000 JPY",https://takayama-kyoto.com/
Shuhaku,"6,000 - 18,000 JPY",N/A
Kyoryori Fujimoto,"3,500 - 15,000 JPY",N/A
Akai,"13,000 - 37,000 JPY",N/A
Le Faham by Kelly Rangama,33 - 79 EUR,http://www.lefaham.com/
La Gouesnière - Maison Tirel-Guérin,45 - 125 EUR,www.tirel-guerin.com
Les Sources de Fontbelle,35 - 92 EUR,http://sourcesdefontbelle.com
Pertinence,45 - 180 EUR,https://www.restaurantpertinence.com/
Hedone,48 - 110 EUR,https://www.hedone-restaurant.fr/
La Robe,24 - 75 EUR,https://www.restaurant-la-robe.com/
La Salle à Manger du Château de Mazan,65 - 95 EUR,https://www.chateaudemazan.com/
Leclere,35 - 45 EUR,https://www.restaurantleclere.com/
Les Voiles d'Or,35 - 85 EUR,https://www.lesvoilesdor.fr/
L'Orée de la Forêt,65 - 125 EUR,https://www.loreedelaforet.fr/
L'Étang du Moulin,65 - 149 EUR,http://www.etang-du-moulin.com/
Louis,42 - 110 EUR,https://stephanepitre.fr/restaurant-gastronomique-louis/
Chez Michèle,27 - 115 EUR,https://www.chezmichele.fr/
Restaurant de Tourrel,98 - 150 EUR,http://www.detourrel.com/
La Renaissance,36 - 98 EUR,https://www.arnaudviel.com/
La Sommelière,72 EUR,https://www.la-sommeliere.net/
Les Trois Rochers,55 - 115 EUR,https://www.trimen.fr/
Hostellerie de la Pointe St-Mathieu,49 - 105 EUR,https://www.pointe-saint-mathieu.com/
Le P'tit Polyte,73 - 115 EUR,https://www.chalet-mounier.com/
Sola,65 - 120 EUR,https://www.restaurant-sola.com/
Elsa,78 - 158 EUR,https://www.monte-carlo-beach.com/
Aux Terrasses,35 - 105 EUR,https://www.aux-terrasses.com/
La Scène Thélème,56 - 135 EUR,https://www.lascenetheleme.fr/
L'Arnsbourg,79 - 139 EUR,https://www.arnsbourg.com/
Les Pêcheurs,98 - 154 EUR,https://www.ca-beachhotel.com/
Auberge St-Walfrid,71 - 143 EUR,http://www.stwalfrid.com/
Le Champ des Lunes,85 - 145 EUR,https://www.domainedefontenille.com/
Le Foch,37 - 125 EUR,https://www.lefoch.com/
Auberge du Cep,23 - 84 EUR,https://www.aubergeducep.com/
Les Terraillers,79 - 168 EUR,https://www.lesterraillers.com/
Le Sérac,35 - 68 EUR,https://www.3serac.fr/
Les Bories,70 - 120 EUR,https://www.hotellesbories.com/
La Réserve Rimbaud,40 - 110 EUR,https://www.reserve-rimbaud.com/
Girardin - Gastronomique,115 - 135 EUR,https://www.maisondestetes.com/
Le Raisin,36 - 95 EUR,https://www.leraisin.com/
Alcyone,99 - 139 EUR,https://marseille.intercontinental.com/alcyone
Oxte,55 - 95 EUR,https://www.restaurant-oxte.com/
La Mare aux Oiseaux,55 - 120 EUR,https://www.mareauxoiseaux.fr/
Maison Chabran - La Grande Table,119 - 139 EUR,https://www.maisonchabran.com/
Vieux Pont,52 - 97 EUR,https://www.hotelbelcastel.com/
Accents Table Bourse,39 - 75 EUR,https://www.accents-restaurant.com/
Lasserre,145 - 275 EUR,https://www.restaurant-lasserre.com/
La Rotonde des Trésoms,37 - 129 EUR,https://www.lestresoms.com/
La Flibuste,51 - 145 EUR,https://www.restaurantlaflibuste.fr/
Prairial,64 - 98 EUR,http://www.prairial-restaurant.com/
Sushi B,68 - 225 EUR,http://sushi-b-fr.com
La Table de La Butte,48 - 165 EUR,https://www.labutte.fr/
Le Moulin de la Gorce,89 - 109 EUR,https://www.moulindelagorce.com/
Auberge du Pont,32 - 155 EUR,https://www.auberge-du-pont.com/
Septime,60 - 95 EUR,https://www.septime-charonne.fr/
Le Chiberta,49 - 120 EUR,https://www.lechiberta.com/
Les Berceaux,51 - 98 EUR,https://www.lesberceaux.com/
Anne,39 - 120 EUR,www.pavillon-de-la-reine.com
L'Atlantide 1874 - Maison Guého,45 - 130 EUR,http://www.atlantide1874.fr/
Jérôme Nutile,45 - 180 EUR,http://www.jerome-nutile.com/
Le Bénaton,35 - 141 EUR,http://www.lebenaton.com/
Le Jardin Secret,32 - 68 EUR,https://www.restaurant-jardinsecret.fr/
